"path","type","status","title","titleLength","description","descriptionLength","duplicateTitle","duplicateDescription","wordCount","bailDensity","hasReviewer","hasReviewDate","hasSources"
"/","home","200","Florida Bail Bonds & Inmate Search | Bond Florida","49","Find Florida county jail contacts, official inmate-search links, bail information, and local service guides from Bond Florida's statewide directory.","148","false","false","938","1.8","true","true","true"
"/about","core","200","About the Bond Florida Directory","32","Learn how Bond Florida organizes county jail contacts, official inmate-search links, local guides, and general bail information for Florida visitors.","149","false","false","425","0.5","true","true","true"
"/contact","core","200","Contact the Bond Florida Support Team","37","Contact Bond Florida about directory corrections, general questions, or bail-service inquiries. Phone and online form options are available around the clock.","157","false","false","401","0.2","true","true","true"
"/county/brevard","county","200","Brevard County Bail Bonds & Jail Guide","38","Find Brevard County Jail Complex contacts, the official inmate-search resource, local city guides, and bail information for Brevard County.","139","false","false","1343","0.7","true","true","true"
"/county/brevard/cocoa","city","200","Cocoa Florida Bail Bonds & Jail Guide","37","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Cocoa in Brevard County.","145","false","false","413","2.2","true","true","true"
"/county/broward","county","200","Broward County Bail Bonds & Jail Guide","38","Find Broward County Main Jail contacts, the official inmate-search resource, local city guides, and bail information for Broward County.","136","false","false","1596","0.9","true","true","true"
"/county/broward/fort-lauderdale","city","200","Fort Lauderdale Florida Bail Bonds & Jail Guide","47","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Fort Lauderdale in Broward County.","155","false","false","493","2.2","true","true","true"
"/county/broward/hollywood","city","200","Hollywood Florida Bail Bonds & Jail Guide","41","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Hollywood in Broward County.","149","false","false","480","2.3","true","true","true"
"/county/broward/pompano-beach","city","200","Pompano Beach Florida Bail Bonds & Jail Guide","45","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Pompano Beach in Broward County.","153","false","false","507","2.2","true","true","true"
"/county/columbia","county","200","Columbia County Bail Bonds & Jail Guide","39","Find Columbia County Detention Facility contacts, the official inmate-search resource, local city guides, and bail information for Columbia County.","147","false","false","1350","0.7","true","true","true"
"/county/columbia/lake-city","city","200","Lake City Florida Bail Bonds & Jail Guide","41","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Lake City in Columbia County.","150","false","false","422","2.1","true","true","true"
"/county/duval","county","200","Duval County Bail Bonds & Jail Guide","36","Find John E. Goode Pre-Trial Detention Facility contacts, the official inmate-search resource, local city guides, and bail information for Duval County.","152","false","false","1566","0.6","true","true","true"
"/county/duval/jacksonville-beach","city","200","Jacksonville Beach Florida Bail Bonds & Jail Guide","50","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Jacksonville Beach in Duval County.","156","false","false","488","1.8","true","true","true"
"/county/hillsborough","county","200","Hillsborough County Bail Bonds & Jail Guide","43","Find Orient Road Jail contacts, the official inmate-search resource, local city guides, and bail information for Hillsborough County.","133","false","false","1592","0.8","true","true","true"
"/county/hillsborough/brandon","city","200","Brandon Florida Bail Bonds & Jail Guide","39","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Brandon in Hillsborough County.","152","false","false","479","2.3","true","true","true"
"/county/hillsborough/plant-city","city","200","Plant City Florida Bail Bonds & Jail Guide","42","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Plant City in Hillsborough County.","155","false","false","476","2.3","true","true","true"
"/county/hillsborough/tampa","city","200","Tampa Florida Bail Bonds & Jail Guide","37","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Tampa in Hillsborough County.","150","false","false","484","2.3","true","true","true"
"/county/indian-river","county","200","Indian River County Bail Bonds & Jail Guide","43","Find Indian River County Jail contacts, the official inmate-search resource, local city guides, and bail information for Indian River County.","141","false","false","1439","1","true","true","true"
"/county/indian-river/vero-beach","city","200","Vero Beach Bail Bonds & Jail Guide","34","Find Vero Beach arresting-agency contacts, Indian River County Jail information, the official inmate-search link, and general Florida bail resources.","149","false","false","1481","1.1","true","true","true"
"/county/lee","county","200","Lee County Bail Bonds & Jail Guide","34","Find Lee County Jail (Core Facility) contacts, the official inmate-search resource, local city guides, and bail information for Lee County.","139","false","false","1514","0.9","true","true","true"
"/county/lee/bonita-springs","city","200","Bonita Springs Bail Bonds & Jail Guide","38","Find Bonita Springs arresting-agency contacts, Lee County Jail Core Facility information, the official inmate-search link, and general bail resources.","150","false","false","1191","1.2","true","true","true"
"/county/lee/cape-coral","city","200","Cape Coral Bail Bonds & Jail Guide","34","Find Cape Coral arresting-agency contacts, Lee County Jail Core Facility information, the official inmate-search link, and general bail resources.","146","false","false","1528","1.1","true","true","true"
"/county/lee/fort-myers","city","200","Fort Myers Bail Bonds & Jail Guide","34","Find Fort Myers arresting-agency contacts, Lee County Jail Core Facility information, the official inmate-search link, and general bail resources.","146","false","false","1194","1.2","true","true","true"
"/county/manatee","county","200","Manatee County Bail Bonds & Jail Guide","38","Find Manatee County Central Jail contacts, the official inmate-search resource, local city guides, and bail information for Manatee County.","139","false","false","1354","0.7","true","true","true"
"/county/manatee/bradenton","city","200","Bradenton Florida Bail Bonds & Jail Guide","41","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Bradenton in Manatee County.","149","false","false","402","2.2","true","true","true"
"/county/marion","county","200","Marion County Bail Bonds & Jail Guide","37","Find Marion County Jail contacts, the official inmate-search resource, local city guides, and bail information for Marion County.","129","false","false","1430","0.8","true","true","true"
"/county/marion/belleview","city","200","Belleview Florida Bail Bonds & Jail Guide","41","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Belleview in Marion County.","148","false","false","415","2.4","true","true","true"
"/county/marion/ocala","city","200","Ocala Florida Bail Bonds & Jail Guide","37","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Ocala in Marion County.","144","false","false","464","2.2","true","true","true"
"/county/miami-dade","county","200","Miami-Dade County Bail Bonds & Jail Guide","41","Find Turner Guilford Knight (TGK) Center contacts, the official inmate-search resource, local city guides, and bail information for Miami-Dade County.","150","false","false","1577","0.8","true","true","true"
"/county/miami-dade/hialeah","city","200","Hialeah Florida Bail Bonds & Jail Guide","39","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Hialeah in Miami-Dade County.","150","false","false","476","2.5","true","true","true"
"/county/miami-dade/miami","city","200","Miami Florida Bail Bonds & Jail Guide","37","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Miami in Miami-Dade County.","148","false","false","476","2.3","true","true","true"
"/county/miami-dade/miami-beach","city","200","Miami Beach Florida Bail Bonds & Jail Guide","43","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Miami Beach in Miami-Dade County.","154","false","false","480","2.3","true","true","true"
"/county/nassau","county","200","Nassau County Bail Bonds & Jail Guide","37","Find Nassau County Jail and Detention Center contacts, the official inmate-search resource, local city guides, and bail information for Nassau County.","150","false","false","1383","0.7","true","true","true"
"/county/nassau/yulee","city","200","Yulee Florida Bail Bonds & Jail Guide","37","Find jail contacts, official inmate-search links, local arresting-agency details, and general Florida bail resources for Yulee in Nassau County.","144","false","false","411","2.2","true","true","true"
"/county/orange","county","200","Orange County Bail Bonds & Jail Guide","37","Find Orange County Booking and Release Center (BRC) contacts, the official inmate-search resource, local city guides, and bail information for Orange County.","157","false","false","1601","0.8","true","true","true"
